1&2a. Stats from NB all/pos features classifiers (wine, all features, lambda 0 - 10):
lambda,allFeatsAccuracy,posFeatsAccuracy
0.000000,0.056555,0.061697
1.000000,0.419023,0.100257
2.000000,0.365039,0.051414
3.000000,0.298201,0.043702
4.000000,0.269923,0.038560
5.000000,0.218509,0.033419
6.000000,0.192802,0.030848
7.000000,0.179949,0.028278
8.000000,0.177378,0.028278
9.000000,0.177378,0.028278
10.000000,0.177378,0.028278

1&2b. Stats from NB all/pos features classifiers (wine, all features, lambda 0 - 1):
lambda,allFeatsAccuracy,posFeatsAccuracy
0.000000,0.056555,0.061697
0.100000,0.624679,0.534704
0.200000,0.596401,0.416452
0.300000,0.552699,0.339332
0.400000,0.519280,0.272494
0.500000,0.473008,0.213368
0.600000,0.460154,0.179949
0.700000,0.455013,0.143959
0.800000,0.431877,0.128535
0.900000,0.424165,0.113111
1.000000,0.419023,0.100257

1&2c. Stats from NB all/pos features classifiers (wine, all features, lambda 0 - 0.1):
lambda,allFeatsAccuracy,posFeatsAccuracy
0.000000,0.069409,0.066838
0.001000,0.634961,0.604113
0.002000,0.642674,0.606684
0.003000,0.642674,0.606684
0.004000,0.637532,0.604113
0.005000,0.645244,0.609254
0.006000,0.647815,0.606684
0.007000,0.645244,0.606684
0.008000,0.650386,0.609254
0.009000,0.655527,0.609254
0.010000,0.655527,0.609254
0.011000,0.658098,0.609254
0.012000,0.658098,0.611825
0.013000,0.660668,0.614396
0.014000,0.660668,0.611825
0.015000,0.663239,0.614396
0.016000,0.665810,0.611825
0.017000,0.665810,0.614396
0.018000,0.665810,0.614396
0.019000,0.665810,0.611825
0.020000,0.663239,0.611825
0.021000,0.660668,0.616967
0.022000,0.660668,0.614396
0.023000,0.668380,0.619537
0.024000,0.668380,0.622108
0.025000,0.668380,0.624679
0.026000,0.673522,0.616967
0.027000,0.673522,0.616967
0.028000,0.670951,0.611825
0.029000,0.670951,0.609254
0.030000,0.668380,0.606684
0.031000,0.670951,0.606684
0.032000,0.670951,0.604113
0.033000,0.673522,0.604113
0.034000,0.673522,0.604113
0.035000,0.673522,0.604113
0.036000,0.673522,0.604113
0.037000,0.676093,0.604113
0.038000,0.676093,0.604113
0.039000,0.678663,0.606684
0.040000,0.678663,0.604113
0.041000,0.681234,0.606684
0.042000,0.686375,0.606684
0.043000,0.686375,0.604113
0.044000,0.688946,0.598972
0.045000,0.691517,0.596401
0.046000,0.688946,0.591260
0.047000,0.688946,0.588689
0.048000,0.688946,0.586118
0.049000,0.688946,0.586118
0.050000,0.688946,0.583548
0.051000,0.686375,0.580977
0.052000,0.686375,0.583548
0.053000,0.686375,0.583548
0.054000,0.686375,0.580977
0.055000,0.683805,0.578406
0.056000,0.688946,0.578406
0.057000,0.688946,0.578406
0.058000,0.688946,0.578406
0.059000,0.688946,0.573265
0.060000,0.686375,0.568123
0.061000,0.686375,0.565553
0.062000,0.691517,0.560411
0.063000,0.688946,0.557841
0.064000,0.688946,0.552699
0.065000,0.686375,0.552699
0.066000,0.686375,0.547558
0.067000,0.686375,0.547558
0.068000,0.686375,0.547558
0.069000,0.686375,0.547558
0.070000,0.688946,0.544987
0.071000,0.688946,0.544987
0.072000,0.688946,0.544987
0.073000,0.688946,0.544987
0.074000,0.688946,0.544987
0.075000,0.688946,0.537275
0.076000,0.688946,0.537275
0.077000,0.686375,0.537275
0.078000,0.686375,0.534704
0.079000,0.683805,0.534704
0.080000,0.686375,0.529563
0.081000,0.683805,0.529563
0.082000,0.678663,0.529563
0.083000,0.678663,0.529563
0.084000,0.678663,0.529563
0.085000,0.678663,0.526992
0.086000,0.678663,0.526992
0.087000,0.678663,0.526992
0.088000,0.678663,0.526992
0.089000,0.678663,0.526992
0.090000,0.678663,0.524422
0.091000,0.683805,0.524422
0.092000,0.683805,0.524422
0.093000,0.683805,0.521851
0.094000,0.683805,0.521851
0.095000,0.683805,0.521851
0.096000,0.686375,0.521851
0.097000,0.683805,0.521851
0.098000,0.681234,0.521851
0.099000,0.678663,0.524422

3a. Stats from NB all/pos features classifiers (wineXV, lambda = 0.01):
lambda,allFeatsAccuracy,posFeatsAccuracy
0,0.664948,0.608247
1,0.623711,0.608247
2,0.654639,0.634021
3,0.577320,0.592784
4,0.603093,0.567010
5,0.577320,0.556701
6,0.644330,0.582474
7,0.582474,0.520619
8,0.623711,0.551546
9,0.618090,0.603015

3b. Stats from NB all/pos features classifiers (wineXV, lambdaAFA = 0.045, lambdaPFA = 0.025):
lambda,allFeatsAccuracy,posFeatsAccuracy
0,0.654639,0.603093
1,0.608247,0.623711
2,0.701031,0.634021
3,0.577320,0.597938
4,0.623711,0.561856
5,0.592784,0.577320
6,0.680412,0.567010
7,0.577320,0.494845
8,0.639175,0.567010
9,0.673367,0.618090
