Q1. Example network node and weight values:
Hidden node vals:
[ h1, h2, bias ]
[ -0.949826, -0.852437, 1.000000 ]

Output node val:
0.997571809785583

Hidden weights:
[ x1, x2, bias ]
[ -0.699739, 1.600104, -1.799479 ]
[ 0.030397, 0.600159, -1.399205 ]

Output weights:
[ v1, v2, bias ]
[ -1.095398, -0.595870, 1.795155 ]

Q2. Visualize testing/training accuracy and loss during network training:
iteration,sumSquaredError,trainAccuracy,TestAccuracy
1,648.000000,0.769470,0.805556
2,644.000000,0.771028,0.805556
3,644.000000,0.769470,0.819444
4,712.000000,0.750779,0.750000
5,628.000000,0.777259,0.805556
6,744.000000,0.728972,0.833333
7,620.000000,0.780374,0.805556
8,704.000000,0.753894,0.750000
9,712.000000,0.750779,0.750000
10,672.000000,0.757009,0.833333
11,624.000000,0.778816,0.805556
12,632.000000,0.775701,0.805556
13,624.000000,0.778816,0.805556
14,624.000000,0.778816,0.805556
15,652.000000,0.764798,0.833333
16,640.000000,0.771028,0.819444
17,716.000000,0.752336,0.722222
18,640.000000,0.771028,0.819444
19,652.000000,0.771028,0.777778
20,652.000000,0.771028,0.777778
21,692.000000,0.758567,0.750000
22,716.000000,0.746106,0.777778
23,612.000000,0.783489,0.805556
24,612.000000,0.783489,0.805556
25,704.000000,0.753894,0.750000
26,600.000000,0.788162,0.805556
27,632.000000,0.774143,0.819444
28,624.000000,0.777259,0.819444
29,640.000000,0.769470,0.833333
30,616.000000,0.780374,0.819444
31,612.000000,0.783489,0.805556
32,656.000000,0.769470,0.777778
33,656.000000,0.769470,0.777778
34,704.000000,0.750779,0.777778
35,664.000000,0.766355,0.777778
36,656.000000,0.769470,0.777778
37,688.000000,0.750779,0.833333
38,616.000000,0.783489,0.791667
39,600.000000,0.788162,0.805556
40,632.000000,0.774143,0.819444
41,632.000000,0.778816,0.777778
42,784.000000,0.722741,0.750000
43,692.000000,0.755452,0.777778
44,616.000000,0.781931,0.805556
45,600.000000,0.788162,0.805556
46,676.000000,0.764798,0.750000
47,796.000000,0.716511,0.763889
48,624.000000,0.778816,0.805556
49,600.000000,0.788162,0.805556
50,612.000000,0.783489,0.805556
51,600.000000,0.788162,0.805556
52,616.000000,0.783489,0.791667
53,600.000000,0.788162,0.805556
54,656.000000,0.769470,0.777778
55,604.000000,0.785047,0.819444
56,632.000000,0.778816,0.777778
57,600.000000,0.788162,0.805556
58,600.000000,0.788162,0.805556
59,632.000000,0.778816,0.777778
60,684.000000,0.760125,0.763889
61,608.000000,0.785047,0.805556
62,604.000000,0.785047,0.819444
63,604.000000,0.786604,0.805556
64,664.000000,0.771028,0.736111
65,600.000000,0.788162,0.805556
66,596.000000,0.789720,0.805556
67,688.000000,0.760125,0.750000
68,632.000000,0.778816,0.777778
69,620.000000,0.778816,0.819444
70,628.000000,0.777259,0.805556
71,620.000000,0.777259,0.833333
72,656.000000,0.769470,0.777778
73,640.000000,0.769470,0.833333
74,632.000000,0.778816,0.777778
75,632.000000,0.774143,0.819444
76,612.000000,0.783489,0.805556
77,600.000000,0.788162,0.805556
78,616.000000,0.781931,0.805556
79,684.000000,0.752336,0.833333
80,604.000000,0.785047,0.819444
81,660.000000,0.771028,0.750000
82,632.000000,0.778816,0.777778
83,600.000000,0.789720,0.791667
84,596.000000,0.789720,0.805556
85,600.000000,0.788162,0.805556
86,632.000000,0.778816,0.777778
87,608.000000,0.785047,0.805556
88,640.000000,0.775701,0.777778
89,732.000000,0.742991,0.750000
90,620.000000,0.780374,0.805556
91,620.000000,0.778816,0.819444
92,612.000000,0.781931,0.819444
93,624.000000,0.777259,0.819444
94,604.000000,0.785047,0.819444
95,684.000000,0.766355,0.708333
96,600.000000,0.788162,0.805556
97,632.000000,0.778816,0.777778
98,600.000000,0.788162,0.805556
99,632.000000,0.778816,0.777778
100,600.000000,0.788162,0.805556
101,792.000000,0.719626,0.750000
102,600.000000,0.788162,0.805556
103,632.000000,0.778816,0.777778
104,632.000000,0.778816,0.777778
105,608.000000,0.786604,0.791667
106,600.000000,0.788162,0.805556
107,608.000000,0.786604,0.791667
108,632.000000,0.778816,0.777778
109,676.000000,0.757009,0.819444
110,632.000000,0.778816,0.777778
111,608.000000,0.786604,0.791667
112,596.000000,0.789720,0.805556
113,620.000000,0.780374,0.805556
114,624.000000,0.778816,0.805556
115,660.000000,0.771028,0.750000
116,684.000000,0.760125,0.763889
117,596.000000,0.789720,0.805556
118,684.000000,0.761682,0.750000
119,864.000000,0.683801,0.819444
120,676.000000,0.755452,0.833333
121,604.000000,0.785047,0.819444
122,632.000000,0.778816,0.777778
123,612.000000,0.783489,0.805556
