1-0. Final stats from AP classifier (titanicB, max iters 10, no preprocessor over 100 iters.):
-- Accuracy: 0.701831%

1-1. Final stats from AP classifier (titanicB, max iters 10, no preprocessor over 100 iters.):
-- Accuracy: 0.758592%

1-2. Final stats from AP classifier (titanicB, max iters 10, no preprocessor over 100 iters.):
-- Accuracy: 0.521690%

1-3. Final stats from AP classifier (titanicB, max iters 10, no preprocessor over 100 iters.):
-- Accuracy: 0.873239%

1-4. Final stats from AP classifier (titanicB, max iters 10, no preprocessor over 100 iters.):
-- Accuracy: 0.841268%

1-5. Final stats from AP classifier (titanicB, max iters 10, no preprocessor over 100 iters.):
-- Accuracy: 0.761268%

1-6. Final stats from AP classifier (titanicB, max iters 10, no preprocessor over 100 iters.):
-- Accuracy: 0.783803%

1-7. Final stats from AP classifier (titanicB, max iters 10, no preprocessor over 100 iters.):
-- Accuracy: 0.739155%

1-8. Final stats from AP classifier (titanicB, max iters 10, no preprocessor over 100 iters.):
-- Accuracy: 0.733239%

1-9. Final stats from AP classifier (titanicB, max iters 10, no preprocessor over 100 iters.):
-- Accuracy: 0.872933%

1-10 Final average accuracy: 0.758702%

2-0. Final stats from AP classifier (titanicR, max iters 10, no preprocessor over 100 iters.):
-- Accuracy: 0.408451%

2-1. Final stats from AP classifier (titanicR, max iters 10, no preprocessor over 100 iters.):
-- Accuracy: 0.591549%

2-2. Final stats from AP classifier (titanicR, max iters 10, no preprocessor over 100 iters.):
-- Accuracy: 0.732394%

2-3. Final stats from AP classifier (titanicR, max iters 10, no preprocessor over 100 iters.):
-- Accuracy: 0.584366%

2-4. Final stats from AP classifier (titanicR, max iters 10, no preprocessor over 100 iters.):
-- Accuracy: 0.621972%

2-5. Final stats from AP classifier (titanicR, max iters 10, no preprocessor over 100 iters.):
-- Accuracy: 0.605775%

2-6. Final stats from AP classifier (titanicR, max iters 10, no preprocessor over 100 iters.):
-- Accuracy: 0.535211%

2-7. Final stats from AP classifier (titanicR, max iters 10, no preprocessor over 100 iters.):
-- Accuracy: 0.577465%

2-8. Final stats from AP classifier (titanicR, max iters 10, no preprocessor over 100 iters.):
-- Accuracy: 0.620845%

2-9. Final stats from AP classifier (titanicR, max iters 10, no preprocessor over 100 iters.):
